NegotiationID;Day;Month;Year;Hours;Minutes;SenderID;SenderBestCase;SenderWorstCase;ReceiverID ;ReceiverBestCase 1;ReceiverWorstCase 1;JointUtility (Best);JointUtility (Worst);ContractImbalance (Best);ContractImbalance (Worst);Value 1= - ;Value 1=h;Value 1=g;Value 1=i;Value 1=j;Utility_Issue1;Value 2= - ;Value 2=z;Value 2=y;Value 2=x;Utility_Issue2;Value 3= - ;Value 3=n;Value 3=m;Value 3=l;Value 3=k;Utility_Issue3;Value 4= - ;Value 4=r;Value 4=s;Value 4=q;Value 4=p;Value 4=t;Utility_Issue4;Value 5= - ;Value 5=b;Value 5=a;Value 5=c;Utility_Issue5;MessageType
423;4;12;2017;19;36;425;0.8902;0.8902;426;0.078;0.078;0.9682;0.9682;0.8122;0.8122;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
423;4;12;2017;21;59;426;0.8902;0.8902;425;0.078;0.078;0.9682;0.9682;0.8122;0.8122;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
423;4;12;2017;22;49;425;0.8902;0.8902;426;0.078;0.078;0.9682;0.9682;0.8122;0.8122;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3
423;5;12;2017;13;37;426;1;1;425;0.1254;0.1254;1.1254;1.1254;0.8746;0.8746;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;1;0;0.18;1
423;5;12;2017;17;32;425;0.421;0.421;426;0.4194;0.4194;0.8404;0.8404;0.0016;0.0016;0;1;0;0;0;0.0588;0;1;0;0;0.128;0;1;0;0;0;0.0702;0;1;0;0;0;0;0.128;0;0;0;1;0.036;1
423;5;12;2017;23;20;426;0.6146;0.6146;425;0.3646;0.3646;0.9792;0.9792;0.25;0.25;0;1;0;0;0;0.3;0;1;0;0;0.026;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;0;1;0.0486;1
423;5;12;2017;23;35;425;0.4366;0.4366;426;0.5886;0.5886;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
423;5;12;2017;23;44;426;0.6686;0.6686;425;0.3614;0.3614;1.03;1.03;0.3072;0.3072;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;0;1;0.0486;1
423;6;12;2017;0;2;425;0.4366;0.4366;426;0.5886;0.5886;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
423;6;12;2017;1;22;426;0.6686;0.6686;425;0.3614;0.3614;1.03;1.03;0.3072;0.3072;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;0;1;0.0486;1
423;6;12;2017;23;50;425;0.4146;0.4146;426;0.4886;0.4886;0.9032;0.9032;0.074;0.074;0;0;0;1;0;0.112;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;1;0;0;0;0.0144;0;0;0;1;0.036;1
423;7;12;2017;0;3;426;0.6686;0.6686;425;0.3614;0.3614;1.03;1.03;0.3072;0.3072;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;1;0;0;0;0.16;0;0;0;1;0.0486;1
423;7;12;2017;10;31;425;0.4366;0.4366;426;0.5886;0.5886;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;1
423;7;12;2017;11;6;426;0.5886;0.5886;425;0.4366;0.4366;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.3;0;0;0;1;0;0;0;0;1;0;0.16;0;0;0;0;1;0;0.08;0;0;0;1;0.0486;1
423;7;12;2017;11;27;425;0.4366;0.4366;426;0.5886;0.5886;1.0252;1.0252;0.152;0.152;0;1;0;0;0;0.0588;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;0;1;0;0.0896;0;0;0;1;0.036;4
449;4;12;2017;12;59;451;0.8722;0.8722;452;0.238;0.238;1.1102;1.1102;0.6342;0.6342;0;0;1;0;0;0.28;0;0;0;1;0.2;0;0;0;1;0;0.0522;0;0;0;1;0;0;0.16;0;1;0;0;0.18;0
449;4;12;2017;13;56;452;1;0.66;451;0.451;0.111;1.451;0.771;0.549;0.549;0;1;0;0;0;0.3;0;0;1;0;0.2;0;0;0;1;0;0.16;1;0;0;0;0;0;0;1;0;0;0;0;1
449;4;12;2017;16;11;451;0.896;0.616;452;0.4012;0.1012;1.2972;0.7172;0.4948;0.5148;1;0;0;0;0;0;0;1;0;0;0.128;0;0;0;0;1;0.18;0;1;0;0;0;0;0.128;0;1;0;0;0.18;1
